date,ingredient,sales
2023-01-04,Broccoli,97
2023-01-04,Butter,117
2023-01-04,Cabbage,84
2023-01-04,Carrot,117
2023-01-04,Cheese,191
2023-01-04,Chicken,217
2023-01-04,Cilantro,74
2023-01-04,Eggs,191
2023-01-04,Fish,172
2023-01-04,Flour,109
2023-01-04,Garlic,76
2023-01-04,Ginger,65
2023-01-04,Lemon,85
2023-01-04,Lettuce,102
2023-01-04,Lime,78
2023-01-04,Milk,156
2023-01-04,Mushroom,84
2023-01-04,Oil,117
2023-01-04,Onion,156
2023-01-04,Pasta,105
2023-01-04,Potato,130
2023-01-04,Rice,143
2023-01-04,Salt,99
2023-01-04,Spinach,80
2023-01-04,Sugar,95
2023-01-04,Tomato,176
2023-01-05,Basil,65
2023-01-05,Beef,205
2023-01-05,Bell Pepper,111
2023-01-05,Bread,112
2023-01-05,Broccoli,87
2023-01-05,Butter,113
2023-01-05,Cabbage,77
2023-01-05,Carrot,130
2023-01-05,Cheese,145
2023-01-05,Chicken,195
2023-01-05,Cilantro,60
2023-01-05,Eggs,201
2023-01-05,Fish,152
2023-01-05,Flour,112
2023-01-05,Garlic,61
2023-01-05,Ginger,54
2023-01-05,Lemon,74
2023-01-05,Lettuce,85
2023-01-05,Lime,68
2023-01-05,Milk,142
2023-01-05,Mushroom,101
2023-01-05,Oil,114
2023-01-05,Onion,125
2023-01-05,Pasta,118
2023-01-05,Potato,127
2023-01-05,Rice,121
2023-01-05,Salt,77
2023-01-05,Spinach,71
2023-01-05,Sugar,75
2023-01-05,Tomato,178
2023-01-06,Basil,52
2023-01-06,Beef,168
2023-01-06,Bell Pepper,96
2023-01-06,Bread,129
2023-01-06,Broccoli,83
2023-01-06,Butter,91
2023-01-06,Cabbage,56
2023-01-06,Carrot,96
2023-01-06,Cheese,155
2023-01-06,Chicken,226
2023-01-06,Cilantro,53
2023-01-06,Eggs,170
2023-01-06,Fish,168
2023-01-06,Flour,81
2023-01-06,Garlic,62
2023-01-06,Ginger,45
2023-01-06,Lemon,57
2023-01-06,Lettuce,85
2023-01-06,Lime,67
2023-01-06,Milk,158
2023-01-06,Mushroom,68
2023-01-06,Oil,101
2023-01-06,Onion,127
2023-01-06,Pasta,94
2023-01-06,Potato,122
2023-01-06,Rice,114
2023-01-06,Salt,65
2023-01-06,Spinach,62
2023-01-06,Sugar,73
2023-01-06,Tomato,157
2023-01-07,Basil,36
2023-01-07,Beef,155
2023-01-07,Bell Pepper,83
2023-01-07,Bread,113
2023-01-07,Broccoli,59
2023-01-07,Butter,88
2023-01-07,Cabbage,50
2023-01-07,Carrot,84
2023-01-07,Cheese,125
2023-01-07,Chicken,201
2023-01-07,Cilantro,48
2023-01-07,Eggs,161
2023-01-07,Fish,150
2023-01-07,Flour,85
2023-01-07,Garlic,47
2023-01-07,Ginger,35
2023-01-07,Lemon,53
2023-01-07,Lettuce,79
2023-01-07,Lime,64
2023-01-07,Milk,129
2023-01-07,Mushroom,70
2023-01-07,Oil,77
2023-01-07,Onion,105
2023-01-07,Pasta,99
2023-01-07,Potato,114
2023-01-07,Rice,101
2023-01-07,Salt,61
2023-01-07,Spinach,57
2023-01-07,Sugar,73
2023-01-07,Tomato,154
2023-01-08,Basil,46
2023-01-08,Beef,151
2023-01-08,Bell Pepper,85
2023-01-08,Bread,112
2023-01-08,Broccoli,74
2023-01-08,Butter,84
2023-01-08,Cabbage,55
2023-01-08,Carrot,108
2023-01-08,Cheese,141
2023-01-08,Chicken,214
2023-01-08,Cilantro,38
2023-01-08,Eggs,175
2023-01-08,Fish,143
2023-01-08,Flour,85
2023-01-08,Garlic,44
2023-01-08,Ginger,37
2023-01-08,Lemon,49
2023-01-08,Lettuce,83
2023-01-08,Lime,52
2023-01-08,Milk,116
2023-01-08,Mushroom,73
2023-01-08,Oil,113
2023-01-08,Onion,132
2023-01-08,Pasta,91
2023-01-08,Potato,87
2023-01-08,Rice,126
2023-01-08,Salt,54
2023-01-08,Spinach,78
2023-01-08,Sugar,68
2023-01-08,Tomato,157
2023-01-09,Basil,49
2023-01-09,Beef,208
2023-01-09,Bell Pepper,89
2023-01-09,Bread,104
2023-01-09,Broccoli,88
2023-01-09,Butter,104
2023-01-09,Cabbage,80
2023-01-09,Carrot,115
2023-01-09,Cheese,167
2023-01-09,Chicken,252
2023-01-09,Cilantro,68
2023-01-09,Eggs,162
2023-01-09,Fish,137
2023-01-09,Flour,94
2023-01-09,Garlic,57
2023-01-09,Ginger,47
2023-01-09,Lemon,62
2023-01-09,Lettuce,97
2023-01-09,Lime,60
2023-01-09,Milk,131
2023-01-09,Mushroom,77
2023-01-09,Oil,102
2023-01-09,Onion,128
2023-01-09,Pasta,100
2023-01-09,Potato,130
2023-01-09,Rice,139
2023-01-09,Salt,64
2023-01-09,Spinach,67
2023-01-09,Sugar,57
2023-01-09,Tomato,148
2023-01-10,Basil,63
2023-01-10,Beef,179
2023-01-10,Bell Pepper,103
2023-01-10,Bread,135
2023-01-10,Broccoli,94
2023-01-10,Butter,114
2023-01-10,Cabbage,82
2023-01-10,Carrot,133
2023-01-10,Cheese,159
2023-01-10,Chicken,253
2023-01-10,Cilantro,76
2023-01-10,Eggs,150
2023-01-10,Fish,203
2023-01-10,Flour,102
2023-01-10,Garlic,72
2023-01-10,Ginger,59
2023-01-10,Lemon,81
2023-01-10,Lettuce,102
2023-01-10,Lime,75
2023-01-10,Milk,159
2023-01-10,Mushroom,95
2023-01-10,Oil,120
2023-01-10,Onion,124
2023-01-10,Pasta,119
2023-01-10,Potato,139
2023-01-10,Rice,134
2023-01-10,Salt,87
2023-01-10,Spinach,87
2023-01-10,Sugar,87
2023-01-10,Tomato,193
2023-01-11,Basil,64
2023-01-11,Beef,219
2023-01-11,Bell Pepper,114
2023-01-11,Bread,143
2023-01-11,Broccoli,98
2023-01-11,Butter,117
2023-01-11,Cabbage,88
2023-01-11,Carrot,132
2023-01-11,Cheese,174
2023-01-11,Chicken,241
2023-01-11,Cilantro,80
2023-01-11,Eggs,185
2023-01-11,Fish,194
2023-01-11,Flour,114
2023-01-11,Garlic,81
2023-01-11,Ginger,62
2023-01-11,Lemon,83
2023-01-11,Lettuce,109
2023-01-11,Lime,78
2023-01-11,Milk,150
2023-01-11,Mushroom,95
2023-01-11,Oil,110
2023-01-11,Onion,138
2023-01-11,Pasta,125
2023-01-11,Potato,146
2023-01-11,Rice,143
2023-01-11,Salt,97
2023-01-11,Spinach,88
2023-01-11,Sugar,89
2023-01-11,Tomato,162
2023-01-12,Basil,57
2023-01-12,Beef,187
2023-01-12,Bell Pepper,115
2023-01-12,Bread,123
2023-01-12,Broccoli,87
2023-01-12,Butter,100
2023-01-12,Cabbage,79
2023-01-12,Carrot,117
2023-01-12,Cheese,136
2023-01-12,Chicken,221
2023-01-12,Cilantro,66
2023-01-12,Eggs,180
2023-01-12,Fish,159
2023-01-12,Flour,114
2023-01-12,Garlic,62
2023-01-12,Ginger,55
2023-01-12,Lemon,73
2023-01-12,Lettuce,91
2023-01-12,Lime,62
2023-01-12,Milk,128
2023-01-12,Mushroom,85
2023-01-12,Oil,111
2023-01-12,Onion,126
2023-01-12,Pasta,119
2023-01-12,Potato,129
2023-01-12,Rice,134
2023-01-12,Salt,75
2023-01-12,Spinach,76
2023-01-12,Sugar,92
2023-01-12,Tomato,166
2023-01-13,Basil,49
2023-01-13,Beef,201
2023-01-13,Bell Pepper,100
2023-01-13,Bread,134
2023-01-13,Broccoli,73
2023-01-13,Butter,113
2023-01-13,Cabbage,64
2023-01-13,Carrot,102
2023-01-13,Cheese,156
2023-01-13,Chicken,232
2023-01-13,Cilantro,55
2023-01-13,Eggs,151
2023-01-13,Fish,186
2023-01-13,Flour,83
2023-01-13,Garlic,54
2023-01-13,Ginger,43
2023-01-13,Lemon,64
2023-01-13,Lettuce,87
2023-01-13,Lime,50
2023-01-13,Milk,136
2023-01-13,Mushroom,71
2023-01-13,Oil,91
2023-01-13,Onion,142
2023-01-13,Pasta,95
2023-01-13,Potato,119
2023-01-13,Rice,114
2023-01-13,Salt,60
2023-01-13,Spinach,68
2023-01-13,Sugar,58
2023-01-13,Tomato,161
2023-01-14,Basil,37
2023-01-14,Beef,178
2023-01-14,Bell Pepper,96
2023-01-14,Bread,109
2023-01-14,Broccoli,80
2023-01-14,Butter,88
2023-01-14,Cabbage,55
2023-01-14,Carrot,82
2023-01-14,Cheese,122
2023-01-14,Chicken,197
2023-01-14,Cilantro,53
2023-01-14,Eggs,165
2023-01-14,Fish,140
2023-01-14,Flour,71
2023-01-14,Garlic,37
2023-01-14,Ginger,41
2023-01-14,Lemon,57
2023-01-14,Lettuce,90
2023-01-14,Lime,46
2023-01-14,Milk,125
2023-01-14,Mushroom,62
2023-01-14,Oil,93
2023-01-14,Onion,121
2023-01-14,Pasta,102
2023-01-14,Potato,99
2023-01-14,Rice,121
2023-01-14,Salt,63
2023-01-14,Spinach,50
2023-01-14,Sugar,54
2023-01-14,Tomato,132
2023-01-15,Basil,46
2023-01-15,Beef,193
2023-01-15,Bell Pepper,94
2023-01-15,Bread,100
2023-01-15,Broccoli,60
2023-01-15,Butter,75
2023-01-15,Cabbage,65
2023-01-15,Carrot,96
2023-01-15,Cheese,163
2023-01-15,Chicken,195
2023-01-15,Cilantro,50
2023-01-15,Eggs,159
2023-01-15,Fish,173
2023-01-15,Flour,83
2023-01-15,Garlic,43
2023-01-15,Ginger,41
2023-01-15,Lemon,50
2023-01-15,Lettuce,86
2023-01-15,Lime,43
2023-01-15,Milk,112
2023-01-15,Mushroom,78
2023-01-15,Oil,81
2023-01-15,Onion,139
2023-01-15,Pasta,102
2023-01-15,Potato,86
2023-01-15,Rice,117
2023-01-15,Salt,58
2023-01-15,Spinach,55
2023-01-15,Sugar,54
2023-01-15,Tomato,179
2023-01-16,Basil,54
2023-01-16,Beef,194
2023-01-16,Bell Pepper,95
2023-01-16,Bread,123
2023-01-16,Broccoli,76
2023-01-16,Butter,95
2023-01-16,Cabbage,67
2023-01-16,Carrot,100
2023-01-16,Cheese,159
2023-01-16,Chicken,196
2023-01-16,Cilantro,63
2023-01-16,Eggs,166
2023-01-16,Fish,158
2023-01-16,Flour,75
2023-01-16,Garlic,59
2023-01-16,Ginger,46
2023-01-16,Lemon,82
2023-01-16,Lettuce,94
2023-01-16,Lime,66
2023-01-16,Milk,150
2023-01-16,Mushroom,74
2023-01-16,Oil,121
2023-01-16,Onion,141
2023-01-16,Pasta,107
2023-01-16,Potato,120
2023-01-16,Rice,123
2023-01-16,Salt,78
2023-01-16,Spinach,88
2023-01-16,Sugar,69
2023-01-16,Tomato,159
2023-01-17,Basil,64
2023-01-17,Beef,186
2023-01-17,Bell Pepper,105
2023-01-17,Bread,122
2023-01-17,Broccoli,103
2023-01-17,Butter,104
2023-01-17,Cabbage,92
2023-01-17,Carrot,106
2023-01-17,Cheese,147
2023-01-17,Chicken,223
2023-01-17,Cilantro,69
2023-01-17,Eggs,190
2023-01-17,Fish,195
2023-01-17,Flour,123
2023-01-17,Garlic,68
2023-01-17,Ginger,57
2023-01-17,Lemon,77
2023-01-17,Lettuce,103
2023-01-17,Lime,68
2023-01-17,Milk,149
2023-01-17,Mushroom,82
2023-01-17,Oil,110
2023-01-17,Onion,130
2023-01-17,Pasta,131
2023-01-17,Potato,148
2023-01-17,Rice,125
2023-01-17,Salt,85
2023-01-17,Spinach,87
2023-01-17,Sugar,82
2023-01-17,Tomato,170
2023-01-18,Basil,70
2023-01-18,Beef,215
2023-01-18,Bell Pepper,109
2023-01-18,Bread,130
2023-01-18,Broccoli,105
2023-01-18,Butter,117
2023-01-18,Cabbage,85
2023-01-18,Carrot,122
2023-01-18,Cheese,142
2023-01-18,Chicken,211
2023-01-18,Cilantro,70
2023-01-18,Eggs,156
2023-01-18,Fish,163
2023-01-18,Flour,95
2023-01-18,Garlic,77
2023-01-18,Ginger,61
2023-01-18,Lemon,85
2023-01-18,Lettuce,97
2023-01-18,Lime,72
2023-01-18,Milk,155
2023-01-18,Mushroom,100
2023-01-18,Oil,113
2023-01-18,Onion,144
2023-01-18,Pasta,131
2023-01-18,Potato,141
2023-01-18,Rice,134
2023-01-18,Salt,77
2023-01-18,Spinach,79
2023-01-18,Sugar,94
2023-01-18,Tomato,179
2023-01-19,Basil,60
2023-01-19,Beef,201
2023-01-19,Bell Pepper,84
2023-01-19,Bread,115
2023-01-19,Broccoli,87
2023-01-19,Butter,110
2023-01-19,Cabbage,79
2023-01-19,Carrot,122
2023-01-19,Cheese,150
2023-01-19,Chicken,240
2023-01-19,Cilantro,56
2023-01-19,Eggs,170
2023-01-19,Fish,172
2023-01-19,Flour,119
2023-01-19,Garlic,69
2023-01-19,Ginger,56
2023-01-19,Lemon,61
2023-01-19,Lettuce,108
2023-01-19,Lime,65
2023-01-19,Milk,141
2023-01-19,Mushroom,81
2023-01-19,Oil,123
2023-01-19,Onion,123
2023-01-19,Pasta,119
2023-01-19,Potato,125
2023-01-19,Rice,131
2023-01-19,Salt,75
2023-01-19,Spinach,82
2023-01-19,Sugar,93
2023-01-19,Tomato,179
2023-01-20,Basil,46
2023-01-20,Beef,224
2023-01-20,Bell Pepper,101
2023-01-20,Bread,103
2023-01-20,Broccoli,87
2023-01-20,Butter,101
2023-01-20,Cabbage,55
2023-01-20,Carrot,107
2023-01-20,Cheese,137
2023-01-20,Chicken,216
2023-01-20,Cilantro,52
2023-01-20,Eggs,167
2023-01-20,Fish,156
2023-01-20,Flour,84
2023-01-20,Garlic,55
2023-01-20,Ginger,47
2023-01-20,Lemon,56
2023-01-20,Lettuce,82
2023-01-20,Lime,55
2023-01-20,Milk,122
2023-01-20,Mushroom,58
2023-01-20,Oil,108
2023-01-20,Onion,144
2023-01-20,Pasta,104
2023-01-20,Potato,109
2023-01-20,Rice,113
2023-01-20,Salt,66
2023-01-20,Spinach,71
2023-01-20,Sugar,77
2023-01-20,Tomato,154
2023-01-21,Basil,38
2023-01-21,Beef,157
2023-01-21,Bell Pepper,89
2023-01-21,Bread,106
2023-01-21,Broccoli,82
2023-01-21,Butter,92
2023-01-21,Cabbage,45
2023-01-21,Carrot,104
2023-01-21,Cheese,139
2023-01-21,Chicken,203
2023-01-21,Cilantro,40
2023-01-21,Eggs,157
2023-01-21,Fish,184
2023-01-21,Flour,84
2023-01-21,Garlic,42
2023-01-21,Ginger,30
2023-01-21,Lemon,51
2023-01-21,Lettuce,86
2023-01-21,Lime,51
2023-01-21,Milk,137
2023-01-21,Mushroom,79
2023-01-21,Oil,106
2023-01-21,Onion,104
2023-01-21,Pasta,88
2023-01-21,Potato,105
2023-01-21,Rice,118
2023-01-21,Salt,63
2023-01-21,Spinach,65
2023-01-21,Sugar,79
2023-01-21,Tomato,157
2023-01-22,Basil,44
2023-01-22,Beef,153
2023-01-22,Bell Pepper,79
2023-01-22,Bread,110
2023-01-22,Broccoli,64
2023-01-22,Butter,88
2023-01-22,Cabbage,51
2023-01-22,Carrot,97
2023-01-22,Cheese,103
2023-01-22,Chicken,195
2023-01-22,Cilantro,48
2023-01-22,Eggs,154
2023-01-22,Fish,147
2023-01-22,Flour,93
2023-01-22,Garlic,52
2023-01-22,Ginger,39
2023-01-22,Lemon,54
2023-01-22,Lettuce,75
2023-01-22,Lime,48
2023-01-22,Milk,130
2023-01-22,Mushroom,57
2023-01-22,Oil,118
2023-01-22,Onion,137
2023-01-22,Pasta,117
2023-01-22,Potato,127
2023-01-22,Rice,127
2023-01-22,Salt,52
2023-01-22,Spinach,61
2023-01-22,Sugar,66
2023-01-22,Tomato,123
2023-01-23,Basil,58
2023-01-23,Beef,183
2023-01-23,Bell Pepper,94
2023-01-23,Bread,116
2023-01-23,Broccoli,93
2023-01-23,Butter,109
2023-01-23,Cabbage,54
2023-01-23,Carrot,110
2023-01-23,Cheese,135
2023-01-23,Chicken,203
2023-01-23,Cilantro,59
2023-01-23,Eggs,158
2023-01-23,Fish,139
2023-01-23,Flour,86
2023-01-23,Garlic,59
2023-01-23,Ginger,56
2023-01-23,Lemon,69
2023-01-23,Lettuce,86
2023-01-23,Lime,62
2023-01-23,Milk,163
2023-01-23,Mushroom,81
2023-01-23,Oil,93
2023-01-23,Onion,124
2023-01-23,Pasta,117
2023-01-23,Potato,97
2023-01-23,Rice,145
2023-01-23,Salt,73
2023-01-23,Spinach,83
2023-01-23,Sugar,76
2023-01-23,Tomato,151
2023-01-24,Basil,72
2023-01-24,Beef,177
2023-01-24,Bell Pepper,117
2023-01-24,Bread,134
2023-01-24,Broccoli,95
2023-01-24,Butter,93
2023-01-24,Cabbage,87
2023-01-24,Carrot,111
2023-01-24,Cheese,144
2023-01-24,Chicken,208
2023-01-24,Cilantro,72
2023-01-24,Eggs,192
2023-01-24,Fish,149
2023-01-24,Flour,106
2023-01-24,Garlic,73
2023-01-24,Ginger,57
2023-01-24,Lemon,75
2023-01-24,Lettuce,107
2023-01-24,Lime,72
2023-01-24,Milk,175
2023-01-24,Mushroom,90
2023-01-24,Oil,117
2023-01-24,Onion,156
2023-01-24,Pasta,124
2023-01-24,Potato,143
2023-01-24,Rice,162
2023-01-24,Salt,84
2023-01-24,Spinach,83
2023-01-24,Sugar,88
2023-01-24,Tomato,166
2023-01-25,Basil,67
2023-01-25,Beef,174
2023-01-25,Bell Pepper,116
2023-01-25,Bread,126
2023-01-25,Broccoli,94
2023-01-25,Butter,130
2023-01-25,Cabbage,82
2023-01-25,Carrot,111
2023-01-25,Cheese,168
2023-01-25,Chicken,233
2023-01-25,Cilantro,76
2023-01-25,Eggs,192
2023-01-25,Fish,190
2023-01-25,Flour,99
2023-01-25,Garlic,75
2023-01-25,Ginger,66
2023-01-25,Lemon,76
2023-01-25,Lettuce,111
2023-01-25,Lime,68
2023-01-25,Milk,168
2023-01-25,Mushroom,93
2023-01-25,Oil,125
2023-01-25,Onion,124
2023-01-25,Pasta,106
2023-01-25,Potato,124
2023-01-25,Rice,157
2023-01-25,Salt,85
2023-01-25,Spinach,91
2023-01-25,Sugar,90
2023-01-25,Tomato,179
2023-01-26,Basil,55
2023-01-26,Beef,195
2023-01-26,Bell Pepper,98
2023-01-26,Bread,124
2023-01-26,Broccoli,97
2023-01-26,Butter,101
2023-01-26,Cabbage,72
2023-01-26,Carrot,107
2023-01-26,Cheese,156
2023-01-26,Chicken,268
2023-01-26,Cilantro,63
2023-01-26,Eggs,165
2023-01-26,Fish,184
2023-01-26,Flour,97
2023-01-26,Garlic,69
2023-01-26,Ginger,57
2023-01-26,Lemon,71
2023-01-26,Lettuce,105
2023-01-26,Lime,70
2023-01-26,Milk,170
2023-01-26,Mushroom,105
2023-01-26,Oil,118
2023-01-26,Onion,120
2023-01-26,Pasta,124
2023-01-26,Potato,128
2023-01-26,Rice,158
2023-01-26,Salt,83
2023-01-26,Spinach,78
2023-01-26,Sugar,91
2023-01-26,Tomato,153
2023-01-27,Basil,47
2023-01-27,Beef,161
2023-01-27,Bell Pepper,99
2023-01-27,Bread,108
2023-01-27,Broccoli,66
2023-01-27,Butter,94
2023-01-27,Cabbage,63
2023-01-27,Carrot,108
2023-01-27,Cheese,143
2023-01-27,Chicken,209
2023-01-27,Cilantro,55
2023-01-27,Eggs,181
2023-01-27,Fish,137
2023-01-27,Flour,84
2023-01-27,Garlic,58
2023-01-27,Ginger,46
2023-01-27,Lemon,66
2023-01-27,Lettuce,89
2023-01-27,Lime,49
2023-01-27,Milk,143
2023-01-27,Mushroom,81
2023-01-27,Oil,95
2023-01-27,Onion,108
2023-01-27,Pasta,113
2023-01-27,Potato,116
2023-01-27,Rice,124
2023-01-27,Salt,61
2023-01-27,Spinach,71
2023-01-27,Sugar,74
2023-01-27,Tomato,156
2023-01-28,Basil,42
2023-01-28,Beef,171
2023-01-28,Bell Pepper,95
2023-01-28,Bread,97
2023-01-28,Broccoli,79
2023-01-28,Butter,84
2023-01-28,Cabbage,56
2023-01-28,Carrot,110
2023-01-28,Cheese,160
2023-01-28,Chicken,244
2023-01-28,Cilantro,53
2023-01-28,Eggs,179
2023-01-28,Fish,141
2023-01-28,Flour,73
2023-01-28,Garlic,47
2023-01-28,Ginger,39
2023-01-28,Lemon,56
2023-01-28,Lettuce,77
2023-01-28,Lime,45
2023-01-28,Milk,121
2023-01-28,Mushroom,55
2023-01-28,Oil,90
2023-01-28,Onion,110
2023-01-28,Pasta,82
2023-01-28,Potato,121
2023-01-28,Rice,112
2023-01-28,Salt,51
2023-01-28,Spinach,57
2023-01-28,Sugar,59
2023-01-28,Tomato,143
2023-01-29,Basil,42
2023-01-29,Beef,202
2023-01-29,Bell Pepper,90
2023-01-29,Bread,114
2023-01-29,Broccoli,70
2023-01-29,Butter,86
2023-01-29,Cabbage,55
2023-01-29,Carrot,87
2023-01-29,Cheese,129
2023-01-29,Chicken,188
2023-01-29,Cilantro,50
2023-01-29,Eggs,149
2023-01-29,Fish,172
2023-01-29,Flour,71
2023-01-29,Garlic,50
2023-01-29,Ginger,48
2023-01-29,Lemon,57
2023-01-29,Lettuce,82
2023-01-29,Lime,59
2023-01-29,Milk,137
2023-01-29,Mushroom,72
2023-01-29,Oil,88
2023-01-29,Onion,127
2023-01-29,Pasta,101
2023-01-29,Potato,102
2023-01-29,Rice,126
2023-01-29,Salt,69
2023-01-29,Spinach,59
2023-01-29,Sugar,79
2023-01-29,Tomato,148
2023-01-30,Basil,58
2023-01-30,Beef,209
2023-01-30,Bell Pepper,100
2023-01-30,Bread,122
2023-01-30,Broccoli,94
2023-01-30,Butter,106
2023-01-30,Cabbage,70
2023-01-30,Carrot,97
2023-01-30,Cheese,158
2023-01-30,Chicken,201
2023-01-30,Cilantro,59
2023-01-30,Eggs,200
2023-01-30,Fish,171
2023-01-30,Flour,100
2023-01-30,Garlic,58
2023-01-30,Ginger,51
2023-01-30,Lemon,72
2023-01-30,Lettuce,84
2023-01-30,Lime,56
2023-01-30,Milk,136
2023-01-30,Mushroom,93
2023-01-30,Oil,118
2023-01-30,Onion,121
2023-01-30,Pasta,118
2023-01-30,Potato,114
2023-01-30,Rice,144
2023-01-30,Salt,77
2023-01-30,Spinach,92
2023-01-30,Sugar,88
2023-01-30,Tomato,158
2023-01-31,Basil,60
2023-01-31,Beef,230
2023-01-31,Bell Pepper,114
2023-01-31,Bread,136
2023-01-31,Broccoli,113
2023-01-31,Butter,108
2023-01-31,Cabbage,86
2023-01-31,Carrot,122
2023-01-31,Cheese,171
2023-01-31,Chicken,227
2023-01-31,Cilantro,69
2023-01-31,Eggs,187
2023-01-31,Fish,171
2023-01-31,Flour,98
2023-01-31,Garlic,65
2023-01-31,Ginger,65
2023-01-31,Lemon,86
2023-01-31,Lettuce,112
2023-01-31,Lime,72
2023-01-31,Milk,154
2023-01-31,Mushroom,92
2023-01-31,Oil,128
2023-01-31,Onion,137
2023-01-31,Pasta,133
2023-01-31,Potato,134
2023-01-31,Rice,144
2023-01-31,Salt,78
2023-01-31,Spinach,85
2023-01-31,Sugar,93
2023-01-31,Tomato,178
2023-02-01,Basil,82
2023-02-01,Beef,211
2023-02-01,Bell Pepper,126
2023-02-01,Bread,147
2023-02-01,Broccoli,103
2023-02-01,Butter,122
2023-02-01,Cabbage,94
2023-02-01,Carrot,118
2023-02-01,Cheese,151
2023-02-01,Chicken,245
2023-02-01,Cilantro,84
2023-02-01,Eggs,175
2023-02-01,Fish,210
2023-02-01,Flour,120
2023-02-01,Garlic,77
2023-02-01,Ginger,75
2023-02-01,Lemon,90
2023-02-01,Lettuce,95
2023-02-01,Lime,85
2023-02-01,Milk,153
2023-02-01,Mushroom,99
2023-02-01,Oil,127
2023-02-01,Onion,175
2023-02-01,Pasta,130
2023-02-01,Potato,152
2023-02-01,Rice,155
2023-02-01,Salt,101
2023-02-01,Spinach,89
2023-02-01,Sugar,94
2023-02-01,Tomato,174
2023-02-02,Basil,64
2023-02-02,Beef,192
2023-02-02,Bell Pepper,113
2023-02-02,Bread,144
2023-02-02,Broccoli,88
2023-02-02,Butter,100
2023-02-02,Cabbage,84
2023-02-02,Carrot,126
2023-02-02,Cheese,158
2023-02-02,Chicken,241
2023-02-02,Cilantro,82
2023-02-02,Eggs,154
2023-02-02,Fish,168
2023-02-02,Flour,113
2023-02-02,Garlic,71
2023-02-02,Ginger,71
2023-02-02,Lemon,78
2023-02-02,Lettuce,110
2023-02-02,Lime,74
2023-02-02,Milk,123
2023-02-02,Mushroom,104
2023-02-02,Oil,119
2023-02-02,Onion,160
2023-02-02,Pasta,132
2023-02-02,Potato,127
2023-02-02,Rice,153
2023-02-02,Salt,84
2023-02-02,Spinach,90
2023-02-02,Sugar,87
2023-02-02,Tomato,184
2023-02-03,Basil,57
2023-02-03,Beef,180
2023-02-03,Bell Pepper,92
2023-02-03,Bread,116
2023-02-03,Broccoli,91
2023-02-03,Butter,111
2023-02-03,Cabbage,68
2023-02-03,Carrot,109
2023-02-03,Cheese,164
2023-02-03,Chicken,212
2023-02-03,Cilantro,58
2023-02-03,Eggs,178
2023-02-03,Fish,172
2023-02-03,Flour,98
2023-02-03,Garlic,70
2023-02-03,Ginger,54
2023-02-03,Lemon,64
2023-02-03,Lettuce,86
2023-02-03,Lime,63
2023-02-03,Milk,149
